alpha,k,0,1,2,3,4,5,6,7,8,9
1.0,1.0,0.5684210526315789,0.8059866962305987,0.11188811188811189,0.11978021978021978,0.10419313850063533,0.10273081924577374,0.1165644171779141,0.18668252080856124,0.09762202753441802,0.11689814814814815
1.0,5.0,0.5104602510460251,0.7476894639556377,0.1165644171779141,0.13786591123701605,0.11910994764397906,0.1301989150090416,0.13851351351351351,0.2010652463382157,0.10071942446043165,0.12683823529411764
1.0,10.0,0.5441941074523396,0.7668202764976959,0.11091854419410745,0.14182475158084915,0.13154533844189017,0.13945578231292516,0.1458670988654781,0.21749408983451538,0.1070110701107011,0.15648854961832062
1.0,25.0,0.5537261698440208,0.7875354107648725,0.1270358306188925,0.14788732394366197,0.12330623306233063,0.12727272727272726,0.1320754716981132,0.21966911764705882,0.12564543889845095,0.14864864864864866
1.0,50.0,0.5403830141548709,0.7947019867549668,0.13092269326683292,0.1439929328621908,0.12400635930047695,0.12244897959183673,0.14985163204747776,0.21061093247588425,0.1035548686244204,0.14485165794066318
1.0,75.0,0.5446880269814502,0.7982873453853473,0.14630681818181818,0.14749780509218613,0.1328,0.12176165803108809,0.15568862275449102,0.21661931818181818,0.12802275960170698,0.14150943396226415
1.0,100.0,0.5510548523206751,0.7928098391674551,0.15273775216138327,0.16064981949458484,0.1280148423005566,0.12209302325581395,0.15841584158415842,0.20998632010943913,0.12985274431057564,0.12387791741472172
1.0,200.0,0.5480132450331126,0.8188976377952756,0.1403118040089087,0.1524390243902439,0.13031161473087818,0.11267605633802817,0.15842839036755388,0.2029325513196481,0.13612565445026178,0.13653846153846153
1.0,500.0,0.5282574568288854,0.8140214216163584,0.14553990610328638,0.15708812260536398,0.12790697674418605,0.125,0.18386714116251482,0.2148846960167715,0.1357615894039735,0.12694877505567928
1.0,1000.0,0.5354581673306773,0.8081002892960463,0.15584415584415584,0.152317880794702,0.14925373134328357,0.13636363636363635,0.1762749445676275,0.21173235563703025,0.13220338983050847,0.11737089201877934
1.0,2000.0,0.5545302013422819,0.8005698005698005,0.0,0.1569115815691158,0.0,0.0,0.1875,0.2093617021276596,0.13575865128660158,0.0
1.0,5000.0,0.5549958018471872,0.7495682210708118,0.0,0.15725806451612903,0.0,0.0,0.18463073852295409,0.20851063829787234,0.1343906510851419,0.0
1.0,10000.0,0.5519534497090607,0.667167543200601,0.0,0.1544439048081593,0.0,0.0,0.1866977829638273,0.20303030303030303,0.13505154639175257,0.0
1.0,20000.0,0.5561181434599156,0.47552083333333334,0.0,0.15148727384237964,0.0,0.0,0.2727272727272727,0.17147117296222664,0.0,0.0
4.0,1.0,0.7266187050359713,0.9023109243697479,0.5990338164251208,0.5932400932400932,0.5092707045735476,0.40397350993377484,0.632748538011696,0.4942263279445728,0.37745098039215685,0.3845223700120919
4.0,5.0,0.7359081419624217,0.9029322548028311,0.6302816901408451,0.6488294314381271,0.5233160621761658,0.45379310344827584,0.6802325581395349,0.5661605206073753,0.46577380952380953,0.5125
4.0,10.0,0.7394002068252327,0.9104781281790437,0.6715506715506715,0.6844014510278114,0.5556768558951966,0.4907539118065434,0.6681465038845728,0.5801838610827375,0.4771505376344086,0.5151515151515151
4.0,25.0,0.7627118644067796,0.9076142131979695,0.713520749665328,0.7268106734434562,0.5906040268456376,0.5177195685670262,0.6673575129533679,0.5743639921722113,0.4755813953488372,0.546617915904936
4.0,50.0,0.7650158061116965,0.9041372351160444,0.7282608695652174,0.7344345616264295,0.5802469135802469,0.5331179321486268,0.6690427698574338,0.568609022556391,0.4812286689419795,0.5059760956175299
4.0,75.0,0.7690677966101694,0.8986960882647944,0.7340720221606648,0.7335907335907336,0.5918367346938775,0.5442404006677797,0.6629554655870445,0.5683918669131238,0.4779735682819383,0.5049900199600799
4.0,100.0,0.7624076029567054,0.8997995991983968,0.7293956043956044,0.7381258023106547,0.591324200913242,0.547945205479452,0.6639919759277834,0.5668789808917197,0.46923076923076923,0.5020746887966805
4.0,200.0,0.7627659574468085,0.8856015779092702,0.7381615598885793,0.7252195734002509,0.5782997762863534,0.5630712979890311,0.6586586586586587,0.5649466192170819,0.46875,0.5056947608200456
4.0,500.0,0.7579957356076759,0.857278782112274,0.7345132743362832,0.6978155339805825,0.5806818181818182,0.5662393162393162,0.6396135265700483,0.538971807628524,0.4579831932773109,0.483695652173913
4.0,1000.0,0.7569593147751607,0.8228882833787466,0.7219662058371735,0.6708860759493671,0.5680272108843537,0.5714285714285714,0.620754716981132,0.5184887459807074,0.4494736842105263,0.43202416918429004
4.0,2000.0,0.7532327586206896,0.7720338983050847,0.7238421955403087,0.6135416666666667,0.5594002306805075,0.5374449339207048,0.5967302452316077,0.4840622683469237,0.4297520661157025,0.37130801687763715
4.0,5000.0,0.7633674630261661,0.6490112994350282,0.6466346153846154,0.5434977578475336,0.5416666666666666,0.5531914893617021,0.5465414175918019,0.4462864721485411,0.3993362831858407,0.4140625
4.0,10000.0,0.7777777777777778,0.5199326221224031,0.5236686390532544,0.4900332225913621,0.5219858156028369,0.0,0.5198915009041591,0.404487917146145,0.38181818181818183,0.1724137931034483
4.0,20000.0,0.7943485086342229,0.3144696712978651,0.3991031390134529,0.3565217391304348,0.4012738853503185,0.0,0.5384615384615384,0.3287928604978863,0.35125448028673834,0.0
